               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.029455,             0.02898,                   0,             0.93828,             0.95593,             0.97805,             0.65528,            0.025684,            0.021685,                   0,           0.0075886,           0.0075886,           0.0075886
                  39,            0.029008,            0.028719,                   0,             0.95276,             0.95518,             0.98234,             0.65885,            0.025828,            0.021056,                   0,           0.0074725,           0.0074725,           0.0074725
                  40,            0.028979,             0.02856,                   0,             0.94727,             0.95691,             0.98209,             0.66023,            0.025479,            0.021312,                   0,            0.007355,            0.007355,            0.007355
                  41,              0.0293,            0.029152,                   0,             0.95537,             0.95549,             0.98457,             0.68711,            0.024315,            0.020551,                   0,           0.0072361,           0.0072361,           0.0072361
                  42,            0.028577,            0.028901,                   0,             0.94232,             0.95743,             0.98037,             0.67043,            0.025258,            0.020807,                   0,            0.007116,            0.007116,            0.007116
                  43,            0.028588,            0.028268,                   0,             0.94794,             0.95536,             0.98116,             0.66932,            0.025286,            0.020953,                   0,           0.0069948,           0.0069948,           0.0069948
                  44,            0.028432,            0.028757,                   0,             0.94807,             0.95949,             0.98211,             0.68157,             0.02442,            0.020573,                   0,           0.0068726,           0.0068726,           0.0068726
                  45,            0.028331,            0.028187,                   0,             0.94946,             0.96537,             0.98385,             0.67764,            0.024787,            0.020711,                   0,           0.0067495,           0.0067495,           0.0067495
                  46,            0.028234,            0.027489,                   0,             0.95259,             0.95714,             0.98351,             0.68095,            0.024346,            0.020924,                   0,           0.0066257,           0.0066257,           0.0066257
                  47,            0.028135,            0.027754,                   0,             0.95846,             0.96076,             0.98455,             0.69919,            0.023649,            0.020092,                   0,           0.0065013,           0.0065013,           0.0065013
                  48,            0.028267,            0.027654,                   0,             0.94951,             0.96474,             0.98573,             0.68267,            0.024407,             0.02032,                   0,           0.0063764,           0.0063764,           0.0063764
                  49,            0.027873,            0.028111,                   0,             0.95495,             0.95814,             0.98454,             0.69316,            0.023954,            0.020046,                   0,           0.0062512,           0.0062512,           0.0062512
                  50,            0.027928,            0.027915,                   0,             0.95597,              0.9548,             0.98358,             0.68592,            0.024117,            0.020504,                   0,           0.0061256,           0.0061256,           0.0061256
                  51,            0.027549,            0.027626,                   0,             0.95489,              0.9698,              0.9883,             0.70724,            0.023054,            0.019698,                   0,               0.006,               0.006,               0.006
                  52,            0.027462,            0.027182,                   0,             0.94878,             0.96226,             0.98392,             0.68988,            0.024175,            0.020427,                   0,           0.0058744,           0.0058744,           0.0058744
                  53,             0.02719,            0.027309,                   0,              0.9573,             0.97118,             0.98773,             0.71142,             0.02283,            0.019405,                   0,           0.0057488,           0.0057488,           0.0057488
                  54,            0.027197,            0.026791,                   0,             0.95264,             0.97112,             0.98764,              0.7049,            0.023299,             0.01963,                   0,           0.0056236,           0.0056236,           0.0056236
                  55,             0.02702,            0.027251,                   0,              0.9619,             0.96418,             0.98742,             0.71379,            0.022526,            0.019216,                   0,           0.0054987,           0.0054987,           0.0054987
                  56,            0.027028,            0.026763,                   0,              0.9491,              0.9651,             0.98487,             0.70158,            0.023545,            0.019932,                   0,           0.0053743,           0.0053743,           0.0053743
                  57,            0.027205,            0.027463,                   0,             0.95567,             0.96641,             0.98659,             0.71477,            0.022846,            0.019276,                   0,           0.0052505,           0.0052505,           0.0052505
                  58,             0.02659,            0.026683,                   0,             0.95933,             0.97315,             0.98885,             0.71953,            0.022298,            0.019137,                   0,           0.0051274,           0.0051274,           0.0051274
                  59,            0.026511,            0.027431,                   0,             0.95884,             0.96605,             0.98746,             0.70667,            0.023206,             0.01935,                   0,           0.0050052,           0.0050052,           0.0050052
                  60,            0.026348,            0.026573,                   0,             0.96399,             0.96718,              0.9891,             0.72803,            0.021957,            0.018835,                   0,            0.004884,            0.004884,            0.004884
                  61,            0.026318,            0.026661,                   0,             0.95816,             0.97524,             0.98856,             0.73161,            0.021615,            0.018595,                   0,           0.0047639,           0.0047639,           0.0047639
